,ROI_2001,ROI_2002,ROI_2101,ROI_2102,ROI_2111,ROI_2112,ROI_2201,ROI_2202,ROI_2211,ROI_2212,ROI_2301,ROI_2302,ROI_2311,ROI_2312,ROI_2321,ROI_2322,ROI_2331,ROI_2332,ROI_2401,ROI_2402,ROI_2501,ROI_2502,ROI_2601,ROI_2602,ROI_2611,ROI_2612,ROI_2701,ROI_2702,ROI_3001,ROI_3002,ROI_4001,ROI_4002,ROI_4011,ROI_4012,ROI_4021,ROI_4022,ROI_4101,ROI_4102,ROI_4111,ROI_4112,ROI_4201,ROI_4202,ROI_5001,ROI_5002,ROI_5011,ROI_5012,ROI_5021,ROI_5022,ROI_5101,ROI_5102,ROI_5201,ROI_5202,ROI_5301,ROI_5302,ROI_5401,ROI_5402,ROI_6001,ROI_6002,ROI_6101,ROI_6102,ROI_6201,ROI_6202,ROI_6211,ROI_6212,ROI_6221,ROI_6222,ROI_6301,ROI_6302,ROI_6401,ROI_6402,ROI_7001,ROI_7002,ROI_7011,ROI_7012,ROI_7021,ROI_7022,ROI_7101,ROI_7102,ROI_8101,ROI_8102,ROI_8111,ROI_8112,ROI_8121,ROI_8122,ROI_8201,ROI_8202,ROI_8211,ROI_8212,ROI_8301,ROI_8302,ROI_9001,ROI_9002,ROI_9011,ROI_9012,ROI_9021,ROI_9022,ROI_9031,ROI_9032,ROI_9041,ROI_9042,ROI_9051,ROI_9052,ROI_9061,ROI_9062,ROI_9071,ROI_9072,ROI_9081,ROI_9082,ROI_9100,ROI_9110,ROI_9120,ROI_9130,ROI_9140,ROI_9150,ROI_9160,ROI_9170
ROI_2001,0.9999999999999999,0.7960966664820431,0.7653310999781348,0.6146299501967257,0.1261584914011652,-0.05747955446883633,0.7316897111328429,0.528039275550458,0.12501581808003628,-0.0221617049246757,0.4984466859035068,0.46596316217572264,0.599194639679891,0.4835071490392577,0.22660368278350462,0.04486364873051694,0.49356550614154293,0.4508984675321791,0.8175033124772427,0.7133753282829871,0.3645693813977695,0.15716386536715024,0.6145910595850091,0.5857991469430424,0.3949428164310877,0.03335370372676928,0.0009220693556398709,0.012570051304123383,0.37542321697916203,0.23741916712902306,0.4344965590508854,0.37686115709176476,0.6169070970652013,0.5162068491881758,0.46893973184429055,0.3917980442079133,0.35799318942276886,0.29360823048075313,0.29714636501827496,0.26912192890894915,0.1430534434710354,0.026018047172566033,0.5141146027253598,0.4991654113879397,0.5293302086170834,0.5047841433679893,0.501613719246438,0.43574366062233333,0.4907904763527777,0.5315969499414985,0.5584737048154941,0.535677138735405,0.4246445814424936,0.3713411753640225,0.39846222492015554,0.3664297725170764,0.8529988904609728,0.7791498784651274,0.69349430809987,0.6753579255663571,0.783592170209557,0.5023931849921326,0.5656270140866497,0.309682379945628,0.5781547915281353,0.45746848265267487,0.5389050527663662,0.5007662223280916,0.6205740993844686,0.6263235134555968,0.14981487030638385,0.19404344316244934,0.23407282799221166,0.17591474081754135,0.1647361711826351,0.0452744089637995,0.15089609316541688,0.18064910260624134,0.2871802203191139,0.29103483338585134,0.40954986606246657,0.37562206053477604,0.19123401778045626,0.25158019865298104,0.5488515870827366,0.43205762374257195,0.20018047827866656,0.35536619769656247,0.3045915870312671,0.35164582481052065,0.1403528894343181,0.21196916953297004,0.08318483040723679,0.15635577110771665,0.06267304065376836,0.006070584818565123,0.1252293375278316,0.21777284719898185,0.1850655455910948,0.07405771542677846,0.02865384553557654,0.1549050257524197,0.11758201468361652,0.09984920363095946,0.07041950001452063,0.08490730738930478,-0.17716067644550942,-0.2096265286357082,-0.017157672853917706,0.15810480692914433,0.07258026744071885,0.10557134988456195,0.1416740601960587,0.10964150982836447,0.10874909484548297,-0.22680646807209728
ROI_2002,0.7960966664820432,1.0,0.5663208379557817,0.49414986669698024,0.041714110540818895,-0.15112966365315494,0.5060014288604598,0.5513555123926532,0.04737180255510009,-0.1236309438173124,0.2634150646143343,0.4829224001321841,0.39112062931249764,0.49557013788687276,0.08263415034723909,-0.011687414537126508,0.442677722368005,0.4847141191298914,0.7303954327527218,0.7486465273470699,0.4150522378720667,0.10381680527815568,0.47379230933370564,0.4834641682979419,0.4224992948750647,0.09005236133502137,-0.07119847870369445,0.08991357451252058,0.34309129652288045,0.24937522287938257,0.33057283286019934,0.32768644682055187,0.5574776520509287,0.49022389656095,0.4772454682467225,0.3464022604065599,0.3987715043691765,0.33055574374449537,0.1964542254955106,0.2207185326881174,0.2560758858163791,0.03941377984446013,0.5082217671523752,0.5205826980281271,0.5694311033759754,0.556229046306934,0.5045132739629,0.40732609437666384,0.509708922485411,0.5427809243140448,0.5098095598414575,0.5521702617306332,0.3111470195359171,0.2828252706539149,0.32247427167366666,0.29190043822430783,0.7623368197342434,0.890932494568989,0.6224443175539066,0.6990285137213837,0.6009898001858819,0.43961096108963504,0.45460235921242315,0.3342621721920656,0.42752664489409364,0.4245580961045281,0.539458851861322,0.49606995572869544,0.6498664314275023,0.7063074356636989,-0.05657592848912539,0.07554306751879479,0.2048970732292883,0.07636070295849405,0.05464260230294104,-0.028803579472315963,-0.0325764245142193,0.1034597908141992,0.3406047314335191,0.2846512751592092,0.4195216238296344,0.40438284603496977,0.18756524984897138,0.2947372308872641,0.4500295082616407,0.4199723342754588,0.1123958855957318,0.3312239131250566,0.16208366294694262,0.23136374801737034,0.03676587175002662,0.06783530269230131,0.030712903357450916,0.13761228418940416,0.011839401598454972,0.02791525561695225,0.07019416155602054,0.050370244983841454,0.09846886612647417,-0.10726524316658352,0.14157612612649068,0.08775404359654347,0.1051962223226463,0.05704632534090619,0.043109604518068695,0.040800946127190284,-0.15956341998562643,-0.16339179350483649,-0.07149814964263215,0.08616171946805734,-0.03721563517352967,-0.02758214895973402,0.027299759083824465,0.08465324298545818,0.054349392061183305,-0.3867006360095747
ROI_2101,0.7653310999781349,0.5663208379557817,1.0,0.7313139774028501,0.25137447249800005,0.26942119903506806,0.8954219581107389,0.6242775212141043,0.22192532731448944,0.30722154241273864,0.6535456842326978,0.5442572585517739,0.6594824264379678,0.6126642961770057,0.40246460124528743,0.31425773788680694,0.5165555565460532,0.5922831477626807,0.690393654116924,0.6568520013642499,0.18660718973078744,0.2996025141725581,0.8895432875413569,0.761077384012043,0.42966123884055457,0.09398661525550446,0.144193606576197,0.07693380822857818,0.5067880905043683,0.40742436958906486,0.5579979254404611,0.6355410222154709,0.7060121883863982,0.6333334667754547,0.40791024820161154,0.41624449331690744,0.26872320030232216,0.15415201688797342,0.38328228592052294,0.3571166554201448,0.0020073977696907774,0.11848209495388877,0.41261144815619505,0.4087520128920187,0.39981537582092075,0.3852367015248355,0.40935506186726583,0.4351631245318297,0.3081741245309235,0.3363426630172103,0.35315055783041194,0.3605496684448769,0.37185915526044533,0.3730525802679821,0.42029407404159225,0.3953530420980639,0.6986739182546287,0.5504338998814324,0.4914077239295208,0.4409587368023234,0.5614496479595705,0.3613523159559969,0.5080775279369952,0.35564427342397165,0.4157853227260645,0.3108932456802997,0.45094840453755897,0.44619004703759463,0.3871777868097052,0.4646739476600253,0.5278524803401883,0.4504461857869553,0.3226428537894229,0.36021212018856735,0.2114077136609486,0.2605597043875267,0.4301366351878364,0.26275082803182004,0.2962588024445253,0.5040451350550884,0.5058502516049567,0.5087183541337528,0.3124011153057808,0.22648321912265396,0.4160569839727856,0.36167921417364307,0.2959489791459076,0.3123364835877999,0.36227276633001554,0.3810060866856393,0.3050197252977339,0.3462743081777107,0.29251753069827224,0.3221040665720899,0.19186827540268458,0.0765032633982899,0.21920935532952102,0.25556776127547975,0.19024693445180724,0.15842174706059745,0.027486082776986016,0.23955285010747807,0.28371196803318366,0.26657182839407145,0.2866029807359474,0.2687085899267181,-0.29218937070381634,-0.29898008579302626,-0.02489269765158516,0.29214293493155624,0.14704935802479913,0.14657256425133317,0.19483274907313206,0.27141809558354985,0.302492853062635,0.09032289748516846
ROI_2102,0.6146299501967257,0.49414986669698024,0.7313139774028501,1.0,0.44974997263921895,0.23331344601579268,0.8114987338883585,0.6573856682912359,0.4677439981861752,0.3291783042611206,0.48834520164887013,0.5164421370313949,0.5217170063849143,0.5623630116029538,0.40621794196898187,0.42854742567091797,0.547449534306892,0.4319751517717459,0.6719805316020959,0.5142754851883363,0.2475996373927954,0.19079813242480345,0.6113081471406846,0.7873040985622283,0.29042756322235375,0.31038777982910015,0.27247946861433114,0.1574908686747469,0.422235398404895,0.4239894682772139,0.7190829695363176,0.6572046281965497,0.6526835592196597,0.7159097918592624,0.23043769449459406,0.22460466590410122,0.12334465975133645,0.13947199996423634,0.17096528118932106,0.17301108652218167,-0.07580940979433426,0.03149881628395715,0.22381291854533542,0.21136641052880004,0.24811980810540493,0.2242873706749685,0.14457976487730456,0.1824354610454057,0.20605406841386203,0.2801117946188023,0.2707122007571518,0.27815642444674793,0.2425840828161437,0.2739258793958019,0.1807154313886438,0.22782144251110106,0.4352381082625515,0.37997128175218253,0.2568446058129735,0.32904989497974174,0.476125582188744,0.6046697689853379,0.5216399995610717,0.5282030163614733,0.22551874526535284,0.39096952222957626,0.3268904873738263,0.3943066711561711,0.3286377156132539,0.23516993347226983,0.500913047469965,0.5898552411470637,0.2992395736486328,0.4418082774699262,0.43708860802124233,0.3907017933503197,0.32990198812367216,0.4198951666166629,0.34622596407724004,0.3512026873552433,0.4451395945938659,0.24619009675585368,0.03195908916891332,0.07100834363087442,0.2178232414996364,0.22063261402865755,0.17334040469126244,0.09183679577433107,0.21570164221368013,0.28181105905560255,0.20414330226386468,0.2522290747719098,0.20008349803892173,0.22575161062281612,0.12918496397543525,-0.02340636689059646,0.07984064443806994,0.12097872936812307,0.07490075870141014,0.053032090080981746,0.10227805562792669,0.17802588545355283,0.18084211334205996,0.1731412593463937,0.11262469197145486,0.1646822532901124,-0.21950655752923007,-0.25766207675141234,0.014838509159649724,0.28386443508169196,0.11234021568933202,0.08451081806833045,0.10919285682784254,0.13302278831817366,0.18130135614478413,0.0654108964384095
ROI_2111,0.1261584914011652,0.0417141105408189,0.25137447249800005,0.44974997263921895,1.0,0.7177328014618711,0.3217356445131998,0.011531578115445388,0.7984006722901544,0.7797341156299303,0.4398481720428589,0.16328207900002026,0.4103869527538206,0.24063173680347755,0.8524532460721878,0.8110922994853084,0.4384271634735293,0.28495622325821923,0.12964196923661384,-0.14999279641555083,0.2814243989190479,0.24018445072217348,0.25825468462543527,0.2982186387889536,0.5909409962082146,0.8059240429508675,0.8742854166007994,0.7059793027403699,0.36418169483479507,0.3369947165930966,0.5652124410840462,0.41064342546735166,0.16878922002329366,0.19318143448129457,0.17573682550919445,0.22613846470192342,-0.04608942756603811,-0.11878007950340085,0.13524709492171383,0.24430017796944514,-0.34864855038980425,0.018009635570107672,0.1074735499111871,0.10978198044146113,0.14953586477047817,0.09534367237441928,0.037967753246896725,0.1757509657825077,0.04629459568358503,0.13513268436448728,0.09373783951630528,0.08605812527213637,0.3368844859256674,0.3894194248424269,0.2556862715605762,0.3138525859883353,0.08338648476060584,0.004649567782621035,-0.0654715218981607,-0.016029072505516717,0.23673284989356103,0.2711282433421928,0.19037891690943942,0.045051892461036046,-0.004455422640734987,-0.03791216939787554,0.07350267677236859,0.12678181624900717,0.15416521431295177,-0.07270325918997123,0.6336435188149687,0.5762796210673424,0.1560474396213805,0.4622416764701569,0.5156806808572078,0.5533037993682527,0.07588706346154742,0.0823103077863113,0.03191087220542997,0.24919167392774236,0.33413089023023884,0.12719231997820668,-0.07784212064331535,-0.1650469517592347,0.18575809557118916,0.07633331632063489,0.2649325459688616,-0.023425315148617308,0.36432581815767184,0.34742242421163316,0.2345427643094041,0.2470616858916679,0.42025143399210163,0.42219838242002383,0.05530247922679205,-0.23153670902635037,-0.04347867772907189,-0.0696126320866928,-0.18224601030408108,-0.20561671661761147,0.09376093889177169,0.32972401900313697,0.3734015453505432,0.4001330494959492,0.1546338950483651,0.27694869934154215,-0.36965202014866333,-0.44605170050016824,0.11503281159441926,0.4128575730191581,0.04839648230076864,-0.04761864214878355,0.08623954346595804,0.163707065710078,0.26816425918783326,0.14733876452211023
ROI_2112,-0.05747955446883633,-0.15112966365315494,0.2694211990350681,0.23331344601579268,0.7177328014618712,1.0,0.16928860931330403,-0.13155492101793692,0.384507686713063,0.9453113224667309,0.37556720516693654,0.06972080672689433,0.17059768988812202,0.10694192035292806,0.7592931602989398,0.7597986848989464,0.19078440920317621,0.31814585885355806,-0.017488927437518724,-0.15661614084012238,-0.10001716217524063,0.42952781993243305,0.3074669934992168,0.07404962524462137,0.47714617726794906,0.550978295794656,0.7187367549901831,0.5630783130930374,0.23891821673384642,0.22994970734437128,0.19937149570447624,0.21598139800227972,0.10805495016974478,0.11406548341206224,0.01704118958270408,0.20413044093087418,-0.28483736875798676,-0.4387440868312879,0.1581604328509273,0.3479511484978841,-0.5217657639726012,0.030519404194175863,0.027364287647245286,0.020794566527716062,-0.009194838892929954,-0.02410110017172971,-0.016279773420219475,0.21107339327594177,-0.1761792711196377,-0.09536562260525526,-0.09196446558669276,-0.09494387373156608,0.3780177458760932,0.41752202067807637,0.329289037763226,0.3593050198997102,0.025756940620495442,-0.12993532413913858,-0.1780132170252587,-0.16228713806629336,0.10907908973271359,0.126892017060264,0.012202660903838215,-0.029955838115799504,-0.1617750609957115,-0.26229883891324884,-0.09386987266001696,0.014767177751635163,-0.07150018507158122,-0.1869271223911337,0.7156928527944365,0.305142647254657,-0.032496446254501286,0.30525172564560543,0.1691928819182521,0.40595696789555985,0.20980713331431944,-0.1326920840671866,-0.18845715715713166,0.37658830853757275,0.2510499866571861,0.25792026977086774,0.14107651694368598,-0.14304851603592494,0.0504285218379675,-0.024066903558412966,0.4574014453247937,-0.002411153431047266,0.44366435520716474,0.4077031258899106,0.45982058555370003,0.41151357700626623,0.7382922902786884,0.6784244402864464,0.1282378710498864,-0.17911966061685552,0.047123744209175526,-0.032287250992486596,-0.16534433180364108,-0.08859797962753235,0.07489733744799335,0.419400569902386,0.6838892345638966,0.7119159757053187,0.5503383469824666,0.6385218370558079,-0.5609265597611351,-0.5970436701417391,0.00808658085431878,0.4112160467234634,0.018506108031398585,-0.0568053081182007,0.20443562082208983,0.4417058368314872,0.5977757411288106,0.4313878809575342
ROI_2201,0.7316897111328429,0.5060014288604598,0.8954219581107389,0.8114987338883585,0.32173564451319975,0.16928860931330403,1.0,0.7238087579273308,0.3960091885452318,0.26499966717608303,0.6734903288314559,0.6088386820738105,0.7264547391844545,0.6496353897208177,0.40690408267590866,0.33223950445779427,0.568041087538193,0.5011223446449704,0.6057788999530329,0.5436152632857053,0.2535958528341975,0.19625072582311906,0.7853687579013625,0.8152148391160372,0.3485175207137639,0.13966013785132125,0.1430262013394677,0.03230606091477878,0.555032781609167,0.4580562354204364,0.7251093825413676,0.7443968468269361,0.6934251547809436,0.6985022210249544,0.34626256753048357,0.3457958444803265,0.25605535367330384,0.21083114822608431,0.29726450260632037,0.24597078695771116,-0.014342638005357712,0.06178488913471229,0.3000075324042978,0.2998128125529791,0.3277030235279056,0.28873271440299914,0.2834050274149101,0.296360228071272,0.28487284830034115,0.3357247102118106,0.3306501463208729,0.3344965009813129,0.2780588658885923,0.28247627754197197,0.28408715311640953,0.28218342582186906,0.5518465018692812,0.43766766848995914,0.4050611926309817,0.38865870375939177,0.622011532090122,0.5008045534382547,0.6081627982433068,0.485649868686281,0.4027354449326253,0.40751524501857367,0.3930647710978498,0.4115977102864931,0.3089586806585474,0.34349454513904276,0.5286098702572527,0.5916581419870011,0.39814646399814324,0.4718996952504391,0.32125208541755235,0.3273479128155214,0.4322958985897356,0.4187869452117581,0.3474595841830565,0.4073475581923587,0.4478601036671314,0.3653906365405081,0.13430447688481242,0.139088871418141,0.3395696727739058,0.2961149653927514,0.1860796892901453,0.21542277493229992,0.2696375774743657,0.31260542398934194,0.20871585702995452,0.2572876609574145,0.14773092974217591,0.17519413467488112,0.1536235936489584,0.03270391447597231,0.18517036534194162,0.2142801162515629,0.1757444829160363,0.13262218712839802,0.01649356035030805,0.18400366746350577,0.12251856057176858,0.11192544738182895,0.11401301003018635,0.11744135500454508,-0.18135637831829154,-0.19663218751308756,0.04332673300332084,0.27885663925538345,0.17798420894179898,0.15267729150748927,0.1272594447522528,0.13645977848116086,0.15367451911112806,0.032883416579445976
ROI_2202,0.528039275550458,0.5513555123926532,0.6242775212141043,0.6573856682912358,0.01153157811544539,-0.13155492101793692,0.7238087579273307,1.0,0.22369947127941037,-0.03067816698127639,0.3961998709130166,0.8070294401743568,0.4838864968614075,0.7558231971364732,0.05043043755532376,0.14372701517358352,0.4443088451679043,0.45403459797250406,0.41814953858236026,0.5376992207344393,0.18730853369872053,-0.006201922347877772,0.656614452543949,0.7866383105430605,0.197684197963881,0.05215537834086275,-0.09848267972268286,-0.04847505263573714,0.5249274561445489,0.5306959989345497,0.6009721236896808,0.7461864185113403,0.5353675882567779,0.609182758729811,0.1572237339585143,0.1512884814812932,0.2553808838918298,0.3016463208260925,0.03599698777915948,-0.025746771052601574,0.23283672019612556,0.06664189320769796,0.1326336356300976,0.15259492641915817,0.14310804675496683,0.13161856031120173,0.10390222486112378,0.05016863587454826,0.16316139899090457,0.20503044050505115,0.18033259418238923,0.26357092017915984,-0.035778996759908414,-0.020281124820458792,-0.04019766679710241,-0.055071265775139995,0.39841009659069837,0.4365160929695407,0.28829771066468424,0.35481053140266533,0.39339116302309407,0.4387987781679784,0.4791669012998019,0.6267113755196548,0.14955097668925177,0.4782033287681831,0.21850872284066034,0.2090655728641052,0.10782133363838874,0.3070213675466289,0.17511213190281086,0.4488847819082671,0.43830857582379523,0.2941179069150712,0.1178771218933178,0.10738586125644492,0.2840221849768397,0.3990906309054657,0.5000551866745269,0.37846785287081264,0.32614122626497694,0.27803450160213417,0.11821442624087788,0.21944908661276716,0.0654838162166878,0.18001054904599223,-0.1572770038666064,0.05885001076412372,-0.1231439488515709,-0.004660066006741537,-0.05388003539983415,-0.05798596288114672,-0.09391737786912739,-0.013465857841493642,0.07636432239902226,0.08954783159716724,0.060340753287546615,0.0573587273632509,0.05685981603748325,0.0045151984322853896,0.18971804189570232,-0.1100360847786237,-0.12204582156120165,-0.15364337985672838,-0.07765777676403555,-0.13865645551807892,0.08355964943175394,0.11646943690656465,0.06638689148518728,0.09627692033032959,0.12220662386632658,0.06855072897861272,-0.09972391492796845,-0.02640304478847799,-0.09884955545120785,-0.22677243811150627
ROI_2211,0.1250158180800363,0.04737180255510008,0.2219253273144894,0.46774399818617524,0.7984006722901545,0.384507686713063,0.39600918854523176,0.22369947127941037,0.9999999999999998,0.5337771261719885,0.4483401739621069,0.250245339598733,0.4812105902041666,0.3494933050784429,0.7244637355888321,0.7023138310221221,0.45610420200416163,0.20558994838068398,0.08403656080174901,-0.09468986034209616,0.3369565603650411,0.099013215811517,0.2685251527699083,0.41150152361044906,0.48803643012199005,0.7123412160115697,0.6999380299920219,0.4500263374319847,0.46554153571498574,0.42341726391042894,0.6664839882706,0.5335277786823404,0.16507169977403266,0.25292800007835226,0.09708152476407164,0.09974614035680773,0.1117231458753523,0.182432264873785,0.043011351712877656,0.06918712119391739,-0.14373390115832743,0.06183002916067279,0.06700351635724891,0.06983839359934926,0.07947497210485706,0.040826028229600936,0.016449225438645916,0.07974329941009888,0.032593509637573286,0.10445511515709441,0.08845356950938975,0.08781161428968194,0.14863106875681356,0.21063899733662755,0.08115326826311768,0.12177647642552658,0.016343105692697306,-0.012293842496167886,-0.07270128281034297,-0.048136693773655884,0.17408526577689012,0.16882494032548076,0.21378003048105682,0.14859831545475932,-0.012833275822195029,0.03485671923445975,0.0472892967787866,0.07066141757900253,0.06591627726193651,-0.05010288558188701,0.5014830581140796,0.638375951939404,0.34842142075330584,0.5055230390045355,0.6006012634788409,0.5141441295317539,0.13920170829113943,0.2942406222206974,0.2006196270787298,0.18003407386091785,0.32477700310569424,0.06031443766829136,-0.042672804537380316,-0.045910964327316735,0.12149417430982865,0.08657992623459786,-0.07298939755329163,-0.1450567369470478,0.11885941304421742,0.16290852289668584,-0.005465435828481982,0.047904320713868215,0.09008165021091727,0.11875512044091206,0.1050748180277728,-0.08003486546326091,-0.029094379516040495,-0.0021730136945014656,-0.11012108299234638,-0.12878133223825186,0.09216897557430671,0.01675127697523104,-0.0006158584776095626,0.02979332322941113,-0.13245067035920877,-0.06993568624586322,-0.006230058467326751,-0.06158643863014908,0.1580541776117328,0.31437807428912773,0.15366597348653696,0.0298878140806841,-0.007981444211074471,-0.007636681554055016,-0.03696997553952777,0.008825229060555552
ROI_2212,-0.0221617049246757,-0.1236309438173124,0.30722154241273864,0.32917830426112066,0.7797341156299304,0.945311322466731,0.26499966717608303,-0.030678166981276386,0.5337771261719886,0.9999999999999999,0.4643476732524371,0.16200111807712259,0.28761294137029986,0.22872857415991077,0.8387623483850969,0.8655718189005476,0.30128293841521725,0.3574442430852389,-0.009784623560795224,-0.16555289066357667,-0.0409734599041061,0.38836845905842443,0.31513053296738114,0.14339197530291034,0.4402656164100007,0.527164837731197,0.7489210892154551,0.46105899455612626,0.34038107399963113,0.34076351319218984,0.31446032398267815,0.3150302920106324,0.1509999740910307,0.19710961630720564,0.014405867658673337,0.17033543207128185,-0.2110821371421941,-0.3245772251309351,0.22538788801477508,0.4010906753603697,-0.49435100874755655,0.08239047235623961,0.06151106869062329,0.0598439867945626,-0.0061355581517744855,-0.015788956858991093,0.0003684582676007344,0.2408069586813749,-0.1653672523746374,-0.056779628327951547,-0.04193041537513022,-0.034915438441768726,0.4034130768070303,0.45429951762843057,0.35456478301739985,0.4112239401634018,0.03509920657987017,-0.1350027727351448,-0.18580390541495176,-0.15177534140566137,0.15747806879346218,0.2305505541015185,0.07991788760929296,0.06077737703946183,-0.12554862437896985,-0.18647982677176875,-0.08753141325814255,0.05565380486158385,-0.057134909609202186,-0.19002082697255718,0.8043854401396159,0.473597425424108,0.08141142438524997,0.46674264230209084,0.2855591029787113,0.528893944774712,0.28384031133510323,0.0049334202023634454,-0.11052553544518905,0.38168417000227267,0.3165674397686978,0.250648302055422,0.1311614825877714,-0.15731784579108424,0.11584637078564422,0.05203834261293647,0.4657531166412362,0.026158124245721573,0.4947643120472249,0.48110051150246225,0.48685958305825094,0.44341898575858835,0.6964500438260847,0.6271407971440246,0.18944170929062074,-0.14053804550070984,0.13972521201862398,0.06734877233941208,-0.05461061985441731,-0.007937066541421598,0.037049789370690714,0.44562110121243886,0.6270994447587053,0.6493717634426759,0.4981209405020555,0.5883271291087658,-0.5431171270121137,-0.5873923313280065,0.025971303385460505,0.459545145238343,0.11814285125045805,0.04787054464585804,0.2746247914473345,0.4469628831608859,0.5743720309876966,0.44076136800842775
